gene_symbol	target_priority	pmid	doi	pmc_id	article_title	journal	year	fulltext_status	evidence_level	abstract_matched_patterns	body_matched_sections	abstract_snippet	body_snippet	m9_evidence_tier	m9_bulk_module_role	m9_b_cell_delta	m9_b_cell_p	recommended_figure_use	interpretation_boundary
BCL6	primary	36353208	10.3748/wjg.v28.i40.5865	PMC9639655	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	World journal of gastroenterology	2022	open_pmc_fulltext	open_fulltext_body_match	\bBcl[- ]?6\b	CONCLUSION;Cur regulates the activation of the Bcl-6-Syk-BLNK signaling pathway;DISCUSSION;Research conclusions;Research methods;Research objectives;Research perspectives;Research results;Western blot analysis	redacted_public_package	redacted_public_package	C_b_cell_mechanism_increased	not_bulk_top150	0.0721226	0.0179007	main_figure_candidate	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
BLNK	primary	36353208	10.3748/wjg.v28.i40.5865	PMC9639655	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	World journal of gastroenterology	2022	open_pmc_fulltext	open_fulltext_body_match	\bBLNK\b	CONCLUSION;Cur regulates the activation of the Bcl-6-Syk-BLNK signaling pathway;DISCUSSION;Research conclusions;Research methods;Research objectives;Research perspectives;Research results;Western blot analysis	redacted_public_package	redacted_public_package	C_b_cell_mechanism_increased	not_bulk_top150	0.281591	0.0424242	main_figure_candidate	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
CCL2	primary	36196887	10.1002/ptr.7656		Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	Phytotherapy research : PTR	2023	user_provided_private_fulltext	user_provided_fulltext_body_match	\bCCL[- ]?2\b	private_fulltext_extracted_text	redacted_public_package	redacted_public_package	B_module_aligned	bulk_up_top150			cytokine_context_candidate	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific.
IL1B	primary	36196887	10.1002/ptr.7656		Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	Phytotherapy research : PTR	2023	user_provided_private_fulltext	user_provided_fulltext_body_match	\bIL[- ]?1(?:β|beta|B)\b	private_fulltext_extracted_text	redacted_public_package	redacted_public_package	A_module_aligned_b_cell_increased	bulk_up_top150	0.00113324	1	cytokine_context_candidate	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific.
IL1B	primary	36353208	10.3748/wjg.v28.i40.5865	PMC9639655	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	World journal of gastroenterology	2022	open_pmc_fulltext	open_fulltext_body_match	\bIL[- ]?1(?:β|beta|B)\b	Cur regulates inflammatory cytokine expression;Enzyme-linked immunosorbent assay (ELISA);Research results	redacted_public_package	redacted_public_package	A_module_aligned_b_cell_increased	bulk_up_top150	0.00113324	1	main_or_supplementary	Supports inflammatory target context; use with disease/bulk/scRNA evidence rather than as standalone mechanism.
IL33	primary	36196887	10.1002/ptr.7656		Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	Phytotherapy research : PTR	2023	user_provided_private_fulltext	user_provided_fulltext_body_match	\bIL[- ]?33\b	private_fulltext_extracted_text	redacted_public_package	redacted_public_package	B_module_aligned	bulk_up_top150			cytokine_context_candidate	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific.
SYK	primary	36353208	10.3748/wjg.v28.i40.5865	PMC9639655	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	World journal of gastroenterology	2022	open_pmc_fulltext	open_fulltext_body_match	\bSYK\b;\bSyk\b;\bp[- ]?Syk\b	CONCLUSION;Cur regulates the activation of the Bcl-6-Syk-BLNK signaling pathway;DISCUSSION;Research conclusions;Research methods;Research objectives;Research perspectives;Research results;Western blot analysis	redacted_public_package	redacted_public_package	C_b_cell_mechanism_increased	not_bulk_top150	0.2135	0.0424242	main_figure_candidate	Directly supports the memory B-cell/Bcl-6-Syk-BLNK axis claim.
TNF	primary	36196887	10.1002/ptr.7656		Effect of curcumin on regulatory B cells in chronic colitis mice involving TLR/MyD88 signaling pathway.	Phytotherapy research : PTR	2023	user_provided_private_fulltext	user_provided_fulltext_body_match	\bTNF[- ]?α\b;\bTNF\b	private_fulltext_extracted_text	redacted_public_package	redacted_public_package	D_b_cell_increased	not_bulk_top150	0.247649	0.109091	cytokine_context_candidate	Full text supports cytokine-context evidence in the chronic colitis/Breg study; use as inflammatory-context support unless the claim is explicitly cell-specific.
TNF	primary	36353208	10.3748/wjg.v28.i40.5865	PMC9639655	Curcumin alleviates experimental colitis via a potential mechanism involving memory B cells and Bcl-6-Syk-BLNK signaling.	World journal of gastroenterology	2022	open_pmc_fulltext	open_fulltext_body_match	\bTNF[- ]?α\b;\bTNF\b	Cur regulates inflammatory cytokine expression;Enzyme-linked immunosorbent assay (ELISA);INTRODUCTION;Research results	redacted_public_package	redacted_public_package	D_b_cell_increased	not_bulk_top150	0.247649	0.109091	main_or_supplementary	Supports inflammatory target context; use with disease/bulk/scRNA evidence rather than as standalone mechanism.
IL15	secondary	33597887	10.3389/fphar.2020.630244	PMC7882737	Curcumin Regulated the Homeostasis of Memory T Cell and Ameliorated Dextran Sulfate Sodium-Induced Experimental Colitis.	Frontiers in pharmacology	2020	open_pmc_fulltext	open_fulltext_body_match	\bIL[- ]?15\b	Curcumin Regulated the Expression of Cytokines in Colon Tissue;Discussion;Enzyme-linked Immunosorbent Assay	redacted_public_package	redacted_public_package	D_b_cell_increased	not_bulk_top150	0.0324155	0.412121	supplementary_candidate	Supports secondary signaling/cytokine context; do not center the main B-cell mechanism on this target.
